Model,Train R²,Test R²,Train RMSE,Test RMSE,Train MAE,Test MAE,CV R² Mean,CV R² Std
Linear Regression,0.0007162651822707478,-0.005400245437971574,22915.739927438426,23254.215232108578,19052.65045531957,19685.16155744598,-0.005909579647461416,0.006482338561047255
Ridge Regression,0.0007162651748083837,-0.005400113774013615,22915.73992752399,23254.213709460197,19052.648152076526,19685.155964855236,-0.005909156645901836,0.006481833628907926
Lasso Regression,0.0007162635527675487,-0.005403723803010685,22915.739946122445,23254.255458167645,19052.623685001043,19685.124355607437,-0.005906952237042851,0.0064805463851452475
Decision Tree,0.27609428853156937,-0.33668471006942746,19504.304884531,26813.078799697305,15474.857194449676,21965.237309961798,-0.42688563193966,0.05207578411553567
Random Forest,0.4272967923922768,-0.2748088693771815,17348.194525879386,26185.12989043762,13765.925598236205,21467.702698479283,-0.3283696265594734,0.05223863688541471
Gradient Boosting,0.18778580416285584,-0.053259323577738105,20659.73580028664,23801.25462742814,17181.9626540702,20072.718311659068,-0.15991522697979269,0.04786584683718394
